date,AVGO,GOOGL,MSFT,NVDA,TSM
2020-01-02,322.39001,1368.68005,160.62,239.91,60.04
2020-01-03,314.19,1361.52002,158.62,236.07001,58.06
2020-01-06,313.72,1397.81006,159.03,237.06,57.39
2020-01-07,312.64001,1395.10999,157.58,239.92999,58.32
2020-01-08,308.73999,1405.04004,160.09,240.38,58.75
2020-01-09,306.26001,1419.79004,162.09,243.02,59.23
2020-01-10,299.22,1428.95996,161.34,244.32001,58.86
2020-01-13,301.17999,1440.03003,163.28,251.98,60.06
2020-01-14,308.17999,1430.58997,162.13,247.28,60.32
2020-01-15,303.14001,1439.19995,163.17999,245.57001,58.39
2020-01-16,307.04999,1450.16003,166.17,248.92999,58.75
2020-01-17,308.79001,1479.52002,167.10001,249.28,58.58
2020-01-21,308.07001,1482.25,166.5,247.94,58.24
2020-01-22,312.88,1484.17004,165.7,250.05,58.35
2020-01-23,319.64999,1484.68994,166.72,252.86,57.48
2020-01-24,324.0,1466.17004,165.03999,250.48,57.73
2020-01-27,309.03,1431.72998,162.28,240.2,55.26
2020-01-28,318.31,1450.5,165.46001,247.97,57.09
2020-01-29,317.51001,1456.69995,168.03999,245.53999,57.19
2020-01-30,315.20001,1454.25,172.78,245.81,55.8
2020-01-31,305.16,1432.78003,170.23,236.42999,53.94
2020-02-03,305.23001,1482.59998,174.38,240.33,54.77
2020-02-04,311.60001,1445.41003,180.12,247.13,57.52
2020-02-05,317.38,1446.05005,179.89999,250.75999,57.92
2020-02-06,319.69,1475.96997,183.63,254.245,58.02
2020-02-07,315.23001,1479.10999,183.89,251.59,56.2
2020-02-10,314.20001,1508.66003,188.7,262.97,57.02
2020-02-11,320.16,1510.06006,184.44,267.89001,58.66
2020-02-12,324.70001,1518.63,184.71001,272.54001,59.63
2020-02-13,323.97,1513.39001,183.71001,270.78,59.33
2020-02-14,317.76999,1518.72998,185.35001,289.79001,58.19
2020-02-18,310.75,1519.43994,187.23,296.57001,56.18
2020-02-19,315.69,1524.87,187.28,314.70001,57.64
2020-02-20,309.23999,1516.98999,184.42,308.70001,56.48
2020-02-21,304.5,1483.45996,178.59,294.07001,55.59
2020-02-24,291.60001,1419.85999,170.89,273.28,54.12
2020-02-25,282.67999,1386.31995,168.07001,262.04999,53.86
2020-02-26,285.88,1390.46997,170.17,267.64999,55.03
2020-02-27,273.95001,1314.94995,158.17999,252.60001,53.29
2020-02-28,272.62,1339.25,162.00999,270.07001,53.84
2020-03-02,284.97,1386.31995,172.78999,276.42999,55.98
2020-03-03,274.25,1337.71997,164.50999,265.89001,54.88
2020-03-04,285.45001,1381.59998,170.55,284.51001,57.08
2020-03-05,274.04001,1314.76001,166.27,273.29001,55.73
2020-03-06,269.45001,1295.73999,161.57001,266.04001,55.07
2020-03-09,247.72,1215.79004,150.62,245.44,51.83
2020-03-10,262.89999,1275.17004,160.92,261.07999,54.51
2020-03-11,245.97,1210.90002,153.63,246.47,52.24
2020-03-12,218.78,1111.55005,139.06,216.31,48.69
2020-03-13,234.22,1214.27002,158.83,240.84,52.23
2020-03-16,187.58,1073.0,135.42,196.39999,44.9
2020-03-17,199.50999,1118.06006,146.57001,217.27,48.54
2020-03-18,167.87,1091.18994,140.39999,202.82001,44.37
2020-03-19,194.45,1111.67004,142.71001,212.97,43.89
2020-03-20,192.22,1068.20996,137.35001,205.75,44.53
2020-03-23,193.47,1054.13,135.98,212.69,45.26
2020-03-24,212.75999,1130.01001,148.34,249.17999,48.87
2020-03-25,217.55,1101.62,146.92,245.62,49.0
2020-03-26,243.17,1162.92004,156.11,257.23999,49.87
2020-03-27,230.69,1110.26001,149.7,252.73,46.91
2020-03-30,240.11,1146.31006,160.23,265.59,47.82
2020-03-31,237.10001,1161.94995,157.71001,263.60001,47.79
2020-04-01,223.63,1102.09998,152.11,243.07001,46.51
2020-04-02,237.06,1117.03003,155.25999,255.47,48.13
2020-04-03,234.25999,1092.69995,153.83,243.91,47.06
2020-04-06,252.44,1183.18994,165.27,268.39999,49.97
2020-04-07,253.27,1182.56006,163.49001,259.03,49.72
2020-04-08,261.10001,1207.0,165.13,266.95001,50.27
2020-04-09,254.3,1206.56995,165.14,262.95001,48.33
2020-04-13,259.92001,1210.41003,165.50999,269.85001,48.75
2020-04-14,267.63,1265.22998,173.7,283.95001,50.63
2020-04-15,257.44,1257.30005,171.88,280.84,49.66
2020-04-16,258.29001,1257.43005,177.03999,294.70001,52.4
2020-04-17,265.88,1279.0,178.60001,292.32001,53.69
2020-04-20,258.28,1261.15002,175.06,287.04999,52.59
2020-04-21,247.64999,1212.16003,167.82001,269.51001,51.37
2020-04-22,259.97,1258.41003,173.52,286.14999,52.95
2020-04-23,258.92999,1271.17004,171.42,284.01001,52.64
2020-04-24,264.81,1276.59998,174.55,289.59,52.73
