date,AVGO,GOOGL,MSFT,NVDA,TSM
2020-01-02,0.020157,0.021868,0.018516,0.019592,0.033391
2020-01-03,-0.025435,-0.005231,-0.012452,-0.016006,-0.032978
2020-01-06,-0.001496,0.026654,0.002585,0.004194,-0.01154
2020-01-07,-0.003443,-0.001932,-0.009118,0.012107,0.016205
2020-01-08,-0.012475,0.007118,0.015928,0.001876,0.007373
2020-01-09,-0.008033,0.010498,0.012493,0.010983,0.00817
2020-01-10,-0.022987,0.006459,-0.004627,0.005349,-0.006247
2020-01-13,0.00655,0.007747,0.012024,0.031352,0.020387
2020-01-14,0.023242,-0.006555,-0.007043,-0.018652,0.004329
2020-01-15,-0.016354,0.006018,0.006476,-0.006915,-0.031996
2020-01-16,0.012898,0.007615,0.018323,0.013682,0.006165
2020-01-17,0.005667,0.020246,0.005597,0.001406,-0.002894
2020-01-21,-0.002332,0.001845,-0.003591,-0.005375,-0.005804
2020-01-22,0.015613,0.001295,-0.004805,0.00851,0.001889
2020-01-23,0.021638,0.00035,0.006156,0.011238,-0.01491
2020-01-24,0.013609,-0.012474,-0.010077,-0.009412,0.004349
2020-01-27,-0.046204,-0.02349,-0.016723,-0.041041,-0.042785
2020-01-28,0.030029,0.01311,0.019596,0.032348,0.033116
2020-01-29,-0.002513,0.004274,0.015593,-0.0098,0.001752
2020-01-30,-0.007275,-0.001682,0.028208,0.0011,-0.024305
2020-01-31,-0.031853,-0.014764,-0.014759,-0.03816,-0.033333
2020-02-03,0.000229,0.034772,0.024379,0.016495,0.015388
2020-02-04,0.02087,-0.025084,0.032917,0.028294,0.05021
2020-02-05,0.018549,0.000443,-0.001221,0.014689,0.006954
2020-02-06,0.007278,0.020691,0.020734,0.013898,0.001727
2020-02-07,-0.013951,0.002127,0.001416,-0.010443,-0.031369
2020-02-10,-0.003267,0.019978,0.026157,0.045232,0.014591
2020-02-11,0.018969,0.000928,-0.022576,0.018709,0.028762
2020-02-12,0.01418,0.005675,0.001464,0.017358,0.016536
2020-02-13,-0.002248,-0.00345,-0.005414,-0.006458,-0.005031
2020-02-14,-0.019138,0.003528,0.008927,0.070205,-0.019215
2020-02-18,-0.022091,0.000467,0.010143,0.023396,-0.034542
2020-02-19,0.015897,0.003574,0.002991,0.061132,0.025988
2020-02-20,-0.020432,-0.005168,-0.015271,-0.019066,-0.020125
2020-02-21,-0.015328,-0.022103,-0.031613,-0.047392,-0.015758
2020-02-24,-0.042365,-0.042873,-0.043116,-0.070698,-0.026444
2020-02-25,-0.03059,-0.023622,-0.016502,-0.041093,-0.004804
2020-02-26,0.01132,0.002994,0.012495,0.02137,0.021723
2020-02-27,-0.041731,-0.054313,-0.070459,-0.055632,-0.031619
2020-02-28,-0.004855,0.01848,0.024213,0.069161,0.010321
2020-03-02,0.045301,0.035147,0.066539,0.023549,0.039747
2020-03-03,-0.037618,-0.035057,-0.047919,-0.038129,-0.01965
2020-03-04,0.040839,0.032802,0.036715,0.070029,0.040088
2020-03-05,-0.039972,-0.048379,-0.025095,-0.039436,-0.023651
2020-03-06,-0.016749,-0.014467,-0.028267,-0.026529,-0.011843
2020-03-09,-0.080646,-0.061702,-0.067773,-0.077432,-0.058834
2020-03-10,0.061279,0.048841,0.068384,0.063722,0.051707
2020-03-11,-0.064397,-0.050401,-0.045302,-0.05596,-0.041644
2020-03-12,-0.110542,-0.082046,-0.094838,-0.122368,-0.067956
2020-03-13,0.070573,0.092412,0.142169,0.113402,0.072705
2020-03-16,-0.199129,-0.116342,-0.14739,-0.184521,-0.140341
2020-03-17,0.0636,0.041995,0.082337,0.106263,0.081069
2020-03-18,-0.158589,-0.024033,-0.042096,-0.066507,-0.085909
2020-03-19,0.158337,0.018769,0.016453,0.050044,-0.001426
2020-03-20,0.005246,-0.039094,-0.037559,-0.033902,0.014582
2020-03-23,0.006503,-0.013181,-0.009975,0.03373,0.016393
2020-03-24,0.099705,0.071984,0.090896,0.171564,0.079761
2020-03-25,0.022514,-0.025124,-0.009573,-0.014287,0.00266
2020-03-26,0.117766,0.055645,0.062551,0.047309,0.017755
2020-03-27,-0.051322,-0.045283,-0.041061,-0.017532,-0.059354
2020-03-30,0.040834,0.03247,0.070341,0.050884,0.019399
2020-03-31,-0.012536,0.013644,-0.015727,-0.007493,-0.000627
2020-04-01,-0.056812,-0.051508,-0.035508,-0.077883,-0.026784
2020-04-02,0.060055,0.013547,0.020709,0.051014,0.034831
2020-04-03,-0.011811,-0.021781,-0.00921,-0.04525,-0.022232
2020-04-06,0.077606,0.082813,0.074368,0.100406,0.061836
2020-04-07,0.003288,-0.000532,-0.01077,-0.034911,-0.005003
2020-04-08,0.030916,0.020667,0.010031,0.030576,0.011062
2020-04-09,-0.026044,-0.000356,6.1e-05,-0.014984,-0.038592
2020-04-13,0.0221,0.003183,0.00224,0.026241,0.00869
2020-04-14,0.029663,0.04529,0.049483,0.052251,0.038564
2020-04-15,-0.038075,-0.006268,-0.010478,-0.010953,-0.019159
2020-04-16,0.003302,0.000103,0.030021,0.049352,0.055175
2020-04-17,0.029386,0.017154,0.008812,-0.008076,0.024618
2020-04-20,-0.028584,-0.013956,-0.019821,-0.018028,-0.020488
2020-04-21,-0.041157,-0.038846,-0.041357,-0.061104,-0.023198
2020-04-22,0.049748,0.038155,0.033965,0.061742,0.030757
2020-04-23,-0.004,0.01014,-0.012102,-0.007479,-0.005855
2020-04-24,0.022709,0.004272,0.018259,0.019647,0.00171
2020-04-27,0.013746,-0.004496,-0.002865,0.025864,0.014792
2020-04-28,-0.013857,-0.030114,-0.024361,-0.019254,-0.014016
2020-04-29,0.042647,0.08891,0.044874,0.024369,0.032601
2020-04-30,-0.015941,0.003368,0.010032,-0.020706,-0.02478
2020-05-01,-0.043885,-0.021816,-0.025891,-0.032503,-0.038208
2020-05-04,0.009858,0.004236,0.02446,0.030076,0.020548
2020-05-05,0.009952,0.019745,0.010736,0.008428,-0.008437
2020-05-06,-0.002605,-0.002661,0.009847,0.013788,0.008122
2020-05-07,0.013514,0.017727,0.005807,0.023775,0.003837
2020-05-08,0.02719,0.010998,0.005882,0.025027,0.011084
2020-05-11,0.001345,0.013906,0.011155,0.032384,-0.009639
2020-05-12,-0.025236,-0.020241,-0.022652,-0.032608,-0.024809
2020-05-13,-0.019743,-0.019525,-0.015122,-0.002884,-0.003523
2020-05-14,0.01311,0.006326,0.004339,0.032198,0.023174
2020-05-15,-0.023218,0.011939,0.014568,0.057313,-0.044146
2020-05-18,0.050382,0.008827,0.009554,0.030563,0.041566
2020-05-19,-0.005776,-0.007782,-0.006922,0.006314,-0.020436
2020-05-20,0.024747,0.025291,0.013832,0.018682,0.020272
2020-05-21,-0.013923,-0.00171,-0.012011,-0.021711,-0.021026
